Time,A0C85051515,,A0C85051515,,A0C85051515,,A0C85051515,,A0C85051515,,A0C85051515,
and,Water Temp C,,Turbidity FNU,,Specific Conductivity µS/cm,,pH,,Dissolved Oxygen mg/L,,Chlorophyll µg/L,
Date,Point,Qual,Point,Qual,Point,Qual,Point,Qual,Point,Qual,Point,Qual
6/26/2020 16:30,28.2,1,21.34,1,765,1,7.7,1,2.38,1,17.63,1
6/26/2020 16:45,28.2,1,20.61,1,765,1,7.7,1,2.36,1,17.27,1
6/26/2020 17:00,28.2,1,20.26,1,764,1,7.7,1,2.3,1,17.31,1
6/26/2020 17:15,28.1,1,19.69,1,765,1,7.69,1,2.24,1,15.66,1
6/26/2020 17:30,28.2,1,19.76,1,765,1,7.7,1,2.35,1,16.84,1
6/26/2020 17:45,28.2,1,18.91,1,765,1,7.7,1,2.36,1,17.7,1
6/26/2020 18:00,28.2,1,19.15,1,764,1,7.7,1,2.29,1,16.78,1
6/26/2020 18:15,28.2,1,20.31,1,765,1,7.7,1,2.24,1,17.45,1
6/26/2020 18:30,28.1,1,19.49,1,765,1,7.7,1,2.14,1,17.4,1
6/26/2020 18:45,28.2,1,23.11,1,765,1,7.7,1,2.14,1,22.28,1
6/26/2020 19:00,28.2,1,21.16,1,765,1,7.69,1,2.07,1,21.31,1
6/26/2020 19:15,28.1,1,21.62,1,765,1,7.69,1,2.05,1,19.85,1
6/26/2020 19:30,28.1,1,20.84,1,765,1,7.69,1,1.98,1,19.32,1
6/26/2020 19:45,28.1,1,20.63,1,765,1,7.7,1,1.97,1,21.67,1
6/26/2020 20:00,28.1,1,25.67,1,765,1,7.7,1,1.99,1,19.72,1
6/26/2020 20:15,28.2,1,25.72,1,765,1,7.7,1,2.01,1,22.48,1
6/26/2020 20:30,28.2,1,21.42,1,765,1,7.69,1,1.92,1,20.46,1
6/26/2020 20:45,28.1,1,19.1,1,765,1,7.68,1,1.75,1,20.89,1
6/26/2020 21:00,28,1,22.09,1,766,1,7.66,1,1.36,1,20.66,1
6/26/2020 21:15,28.1,1,20.98,1,765,1,7.67,1,1.44,1,17.68,1
6/26/2020 21:30,28,1,22.91,1,766,1,7.65,1,1.17,1,18.63,1
6/26/2020 21:45,28.1,1,23.05,1,766,1,7.67,1,1.48,1,20.07,1
6/26/2020 22:00,28.1,1,25.63,1,765,1,7.68,1,1.41,1,18.98,1
6/26/2020 22:15,27.9,1,31.24,1,767,1,7.64,1,0.8,1,16.88,1
6/26/2020 22:30,27.9,1,27.77,1,767,1,7.63,1,0.65,1,15.12,1
6/26/2020 22:45,28,1,25.99,1,766,1,7.64,1,0.84,1,16.68,1
6/26/2020 23:00,28.2,1,25.12,1,767,1,7.67,1,1.54,1,19.07,1
6/26/2020 23:15,28.3,1,28.12,1,768,1,7.75,1,2.8,1,23.99,1
